Xi0_hMpc2,chi2_log,dof,chi2_dof,delta_chi2_vs_best,delta_chi2_vs_zero
1.3143815709362974e-09,5184.584340811883,450,11.521298535137516,3882.3575309851826,-0.07280098133833235
1.414767033672739e-09,5184.578780688778,450,11.521286179308396,3882.3519708620784,-0.07836110444259248
1.5228194033041324e-09,5184.572795917535,450,11.521272879816744,3882.3459860908347,-0.08434587568626739
1.6391242373378452e-09,5184.566354066499,450,11.52125856459222,3882.339544239799,-0.09078772672182822
1.764311815044419e-09,5184.559420227164,450,11.521243156060365,3882.332610400464,-0.09772156605686177
1.8990605530676097e-09,5184.551956825031,450,11.521226570722291,3882.325146998331,-0.10518496818986023
2.044100681900528e-09,5184.543923416016,450,11.521208718702256,3882.317113589316,-0.1132183772051576
2.200218203151444e-09,5184.535276467294,450,11.521189503260654,3882.3084666405944,-0.12186532592659205
2.368259149044462e-09,5184.525969121448,450,11.521168820269883,3882.299159294748,-0.13117267177312897
2.549134167238217e-09,5184.515950942567,450,11.521146557650148,3882.2891411158666,-0.14119085065431136
2.7438234558085024e-09,5184.505167642983,450,11.521122594762184,3882.278357816283,-0.15197415023794747
2.953382075138678e-09,5184.493560789149,450,11.521096801753664,3882.2667509624494,-0.16358100407160237
3.1789456655039272e-09,5184.481067485026,450,11.521069038855613,3882.254257658326,-0.17607430819498404
3.421736601334132e-09,5184.467620031339,450,11.521039155625198,3882.240810204639,-0.18952176188213343
3.6830706155066363e-09,5184.453145558784,450,11.521006990130632,3882.226335732084,-0.20399623443699966
3.964363929567065e-09,5184.437565633258,450,11.520972368073906,3882.2107558065577,-0.2195761599632533
4.267140928518562e-09,5184.420795830932,450,11.520935101846515,3882.1939860042316,-0.23634596228930604
4.593042421770483e-09,5184.402745280889,450,11.520894989513087,3882.1759354541887,-0.2543965123322778
4.943834535014347e-09,5184.383316172859,450,11.520851813717464,3882.156506346159,-0.273825620362004
5.321418281213927e-09,5184.362403227358,450,11.520805340505241,3882.1355934006583,-0.29473856586264446
5.727839862576526e-09,5184.339893125395,450,11.520755318056434,3882.113083298695,-0.31724866782587924
6.16530175933409e-09,5184.315663894645,450,11.520701475321433,3882.088854067945,-0.3414778985761586
6.636174665426095e-09,5184.289584248768,450,11.520643520552817,3882.062774422068,-0.3675575444531205
7.143010335766557e-09,5184.261512876306,450,11.520581139725126,3882.0347030496064,-0.3956289169145748
