z,k_skm,kpar_hMpc,P1D,sigma_P1D_tot
2.2,0.04058074468217635,4.207294755870896,0.3460061979416191,0.04962138157479041
2.2,0.06995958025769183,7.253207831604788,0.3113079636354596,0.025659935688866976
2.2,0.10424236794506545,10.807548541302845,0.28158856812512395,0.01425221744025825
2.2,0.14370787884047215,14.899219069491519,0.27356540501178594,0.009516826686336324
2.2,0.18207437018682995,18.876946415475757,0.2787597011996827,0.008462807965072391
2.2,0.21988746954792096,22.797299673926883,0.26850177113817214,0.007035034825342693
2.2,0.2576180022899328,26.709092663063526,0.25450672630102583,0.007039433751225281
2.2,0.295802259666108,30.667926515764297,0.21659540964642593,0.005259767674993179
2.2,0.3327484792555404,34.49840417568133,0.20061806984025873,0.006103108186159224
2.2,0.37130305040997214,38.49563109458844,0.19567512279417903,0.004722916983645254
2.2,0.41048308868886474,42.55770464391902,0.20355367922441414,0.005897367158938097
2.2,0.44778407311793494,46.42496330085977,0.20593657750981184,0.004932927418151504
2.2,0.48660542362642,50.44984913500055,0.18090013831026888,0.005326703067552756
2.2,0.5240634065192658,54.33338494058644,0.16956256944959794,0.004157483210604202
2.2,0.5630285227440062,58.37317599021334,0.17305708720697874,0.004275691386095521
2.2,0.5995613756845956,62.16079698627293,0.17019043161433173,0.005197621077552701
2.2,0.6370568336118111,66.04821809551245,0.17156197684701924,0.00418952942050859
2.2,0.6756960643415314,70.05422227540714,0.16180523315172085,0.004993163894590259
2.2,0.713654443630298,73.98963773842424,0.14586626439935305,0.0038866855912951075
2.2,0.7514033555653414,77.90333622937128,0.14280091936777153,0.0047075770276600575
2.2,0.7901236202189498,81.91774177315645,0.13525899267500163,0.003829088788280519
2.2,0.827673999569507,85.8108569774211,0.14019089096995424,0.004549845286986281
2.2,0.8660948606337786,89.79422121920032,0.13312398225634078,0.004023179759591996
2.2,0.9043002232562147,93.75524320306062,0.1230584412793009,0.004344209466840399
2.2,0.942196312291056,97.68420059191632,0.11379934355744835,0.0036939465798323987
2.2,0.9806775957506898,101.67382925365966,0.11278927519754157,0.0038178423032942978
2.2,1.018443141667496,105.58925230793808,0.11200914537557306,0.004284415034514995
2.2,1.0556257164357952,109.44423459221224,0.10810294720798964,0.0039153573867018975
2.2,1.0931988908993333,113.33971312815193,0.10329579504693763,0.004298866012867213
2.2,1.1317856697469668,117.34027924794772,0.09982033905365859,0.003884399403515681
2.2,1.1692426547939605,121.22371159974901,0.09504003532599271,0.004285230327615466
2.2,1.207737063517613,125.21470105107142,0.0960270756295189,0.004032575355414926
2.2,1.2462988359652412,129.21267457932092,0.09702026979363965,0.004338349986828406
2.2,1.2845039812737624,133.17367403270026,0.09077151170780273,0.004230441560283282
2.2,1.32177413087864,137.037735823858,0.09221376671744025,0.00459738889189979
2.2,1.3583196703075495,140.82667211849568,0.0900350217166183,0.004436061377429751
2.2,1.3970584497519751,144.84299722247923,0.08237923868931413,0.004347922912990641
2.2,1.4357020506301688,148.8494544867837,0.0802992747345889,0.004377037768582239
2.2,1.473311007750522,152.74864286554538,0.0798018481798164,0.004616352136458898
2.2,1.5107084004721048,156.6258968566449,0.08021714803056325,0.004823784211910381
2.2,1.545966067470593,160.2813102461418,0.07670404839185761,0.005009457305958208
2.2,1.584416118387332,164.2677008077723,0.0721894313420583,0.004823314649303888
2.2,1.6239484229511123,168.36629631116472,0.0704667048367992,0.005192529538255909
2.2,1.6635435257700864,172.47140255682726,0.06543376608270889,0.005138174025483987
2.2,1.702377024974946,176.4975479328258,0.06597528089277939,0.005680459810925996
2.2,1.73966074963869,180.36301714699727,0.06556930163312444,0.005841825482734501
2.2,1.7776437548581387,184.3009857555968,0.06052919276621012,0.005900643993591161
2.2,1.815532689411829,188.22920138844825,0.06039592314060481,0.006252586547971314
2.2,1.8539250135176333,192.2096070005461,0.056383317294513235,0.006435274405367023
2.2,1.8916518117933216,196.12101281096776,0.05663940999648828,0.006836717461619896
2.2,1.9300310409688592,200.10006077840262,0.062404382118549144,0.007735130400759057
2.2,1.969300487352224,204.1714039025531,0.059152452130047654,0.007884157096666962
